County,Acres,Population,Acres/Capita,Pets,Biking,Boat Launch,Boat Rentals,Camping,Canoe/Kayak,Disc Golf,Equestrian Trails,Fishing,Food,Grills,Hiking,Hunting,Nature Center,Pavillions,Playground,Playing Fields,Showers,Sledding,Snowmobiling,Snowshoeing/X-Country Skiing,Stand-up Paddle Boarding,Surfing/Windsurfing,Swimming Beach,Swimming Pool,Visitor Center,Waterfalls,BingeDrink,BuprenorphineRaw,Buprenorphine,Cardiovascular,CardioHospitalRaw,CardioHospital,Cigarette,Depression,DiabetesAdult,ObeseAdult,ObeseChild,OpiodOverdoseRaw,OpiodOverdose,PCPAdult,PhysicalLeisure,SuicideRaw,Suicide
Albany,2610,305506.00,0.008318911,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,19.2,"1,496",0.00490,6.3,"4,361",0.01,11.6,19.7,9,26.9,16.3,49,0.000160,86.1,81.1,106,0.00035
Allegany,0,46091.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,292,0.00634,6.9,586,0.01,17.9,24.1,9.5,34.5,12.4,2,0.000043,85.9,76.1,21,0.00046
Bronx,25,1418207.00,1.75E-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,14.6,"2,980",0.00210,6.6,"24,894",0.02,12.8,16.2,16.4,30.5,24.8,342,0.000241,85.2,69.6,219,0.00015
Broome,2522,190488.00,0.012786453,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,17.9,"1,677",0.00880,6.2,"3,239",0.02,18,23.2,8.6,30.7,17.9,35,0.000184,82,80.2,64,0.00034
Cattaraugus,66402,76117.00,0.868840447,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,17,643,0.00845,9.1,"1,135",0.01,20.7,20.6,10.9,38.2,20.3,10,0.000131,85.4,68.6,42,0.00055
Cayuga,2082,76576.00,0.02743806,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,17.1,366,0.00478,7.9,"1,227",0.02,18.3,19.3,9.2,33.9,21.4,8,0.000104,84,73.1,24,0.00031
Chautauqua,759,126903.00,0.005985474,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,22,"1,176",0.00927,6.9,"1,384",0.01,20.9,22.6,10.1,33.4,19.8,23,0.000181,85,75.7,51,0.00040
Chemung,2564,83456.00,0.030874827,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,12.2,567,0.00679,8.2,"1,446",0.02,22.6,24.4,9,33.9,21.2,15,0.000180,73.2,71.2,33,0.00040
Chenango,2352,47207.00,0.05054043,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,16,434,0.00919,7.6,846,0.02,15.9,19,10.1,38.1,23,4,0.000085,84,74,20,0.00042
Clinton,1806,80485.00,0.022689582,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,19.9,"1,023",0.01271,8,"1,128",0.01,19.9,21.6,10.5,36.7,21.5,2,0.000025,77.5,70.9,26,0.00032
Columbia,7856,59461.00,0.12716501,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,21.1,426,0.00716,4.8,981,0.02,16.2,15.2,4.4,24.3,17.3,9,0.000151,85.5,79.9,28,0.00047
Cortland,0,47581.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6,303,0.00637,6.1,730,0.02,19.8,25.9,8.7,34.4,20.8,9,0.000189,78.8,74.9,16,0.00034
Delaware,3548,44135.00,0.079949525,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,23.5,374,0.00847,7.8,820,0.02,16.8,19.2,6.7,35.9,20.3,3,0.000068,82.2,72.9,21,0.00048
Dutchess,9696,294218.00,0.032634158,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,20.7,"1,422",0.00483,7.2,"4,182",0.01,10.8,15.6,9.5,26.6,17.6,65,0.000221,83,80.2,123,0.00042
Erie,3529,918702.00,0.003712068,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,20.2,"6,408",0.00698,7.3,"15,085",0.02,16.3,20.1,9.4,30,16,143,0.000156,71.5,79.2,315,0.00034
Essex,0,36885.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,413,0.01120,5.3,410,0.01,16.4,17.5,14.3,30.6,21.7,1,0.000027,70.7,73.7,10,0.00027
Franklin,0,50022.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1,579,0.01157,7.7,605,0.01,20.6,18.5,11.1,44.4,23.6,3,0.000060,76.5,76.2,19,0.00038
Fulton,0,53383.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,516,0.00967,8,"1,064",0.02,23.3,23.9,8.9,38.3,18.3,6,0.000112,85.8,69.4,24,0.00045
Genesee,1845,57280.00,0.031891172,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,16.3,526,0.00918,10.9,994,0.02,20.5,22.4,10.9,28.8,19,12,0.000209,87.8,71.8,15,0.00026
Greene,4816,47188.00,0.099301017,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,16.1,485,0.01028,8.8,879,0.02,18.5,19.5,5.5,34.5,23,7,0.000148,83.8,74.3,30,0.00064
Hamilton,0,4416.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,10,0.00226,8.2,89,0.02,12.1,17.3,7.5,27.1,21.9,0,0.000000,76.3,73.8,0,0.00000
Herkimer,0,61319.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.2,372,0.00607,7.1,"1,068",0.02,22.7,14.1,11,34.5,19.5,5,0.000082,85,73.3,23,0.00038
Jefferson,6231,109834.00,0.05357926,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,19.7,660,0.00601,7.4,"1,450",0.01,17.1,18.3,13,37.9,19.4,15,0.000137,88.8,74.1,51,0.00046
Kings,418,2559903.00,0.00015827,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.2,"4,757",0.00186,5.4,"37,466",0.01,12,12.6,11.9,26.6,19.8,278,0.000109,83.9,74.9,435,0.00017
Lewis,515,26296.00,0.000194998,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,31.6,115,0.00437,6.4,379,0.01,18.3,16.6,8.9,38.2,23.3,5,0.000190,81.3,75.9,15,0.00057
Livingston,14430,62914.00,0.234336939,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,13.3,392,0.00623,6.5,903,0.01,20.1,26.6,10.9,35.6,19.1,9,0.000143,80.7,76.6,25,0.00040
Madison,327,70941.00,0.004833131,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,24.2,380,0.00536,7.3,856,0.01,21,23.6,11.1,37.2,20.3,4,0.000056,87.8,80.3,22,0.00031
Monroe,1331,741770.00,0.00176254,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,22.6,"4,153",0.00560,6.7,"10,850",0.01,13.5,18.7,7.5,33.1,15.2,187,0.000252,85.6,80.9,246,0.00033
Montgomery,0,49221.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1,529,0.01075,9.7,"1,165",0.02,15.9,17.2,9.8,38.3,22.5,2,0.000041,83.4,74,20,0.00041
Nassau,5165,1356924.00,0.003713404,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,17.6,"3,725",0.00275,5,"22,483",0.02,7.2,11.4,6.9,23.6,14.7,182,0.000134,84,80.9,249,0.00018
New York,582,1628706.00,0.000369084,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,21.5,"3,222",0.00198,5.6,"20,140",0.01,8,17.2,8.6,19.2,16.2,248,0.000152,84.6,83.2,403,0.00025
Niagara,2798,209281.00,0.013219751,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,15.4,"2,474",0.01182,8.6,"4,191",0.02,21.6,20.8,11.7,32,19.4,37,0.000177,75.8,74.6,72,0.00034
Oneida,2830,228671.00,0.012289707,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,15.4,"1,481",0.00648,7.7,"4,314",0.02,16.4,16.8,12.5,33.7,18.1,47,0.000206,77.4,74,90,0.00039
Onondaga,2332,460528.00,0.004927774,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,23.3,"2,640",0.00573,7.1,"6,485",0.01,12,21.4,10.2,28.8,18.3,109,0.000237,80.7,80.8,148,0.00032
Ontario,1560,109777.00,0.013865681,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,17.5,901,0.00821,6,"1,426",0.01,17.4,16.4,8.6,30.6,15.9,15,0.000137,75.6,77.8,54,0.00049
Orange,80633,384940.00,0.199327606,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,16.1,"2,036",0.00529,6.6,"5,530",0.01,11.8,11.4,8.9,24.2,19.6,79,0.000205,82.8,70.3,121,0.00031
Orleans,825,40352.00,0.020526984,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,25.8,384,0.00952,9.4,714,0.02,27.3,20.6,10.4,30,21.6,9,0.000223,81.4,69.8,15,0.00037
Oswego,1566,117124.00,0.013340489,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,26.1,904,0.00772,8.6,"1,879",0.02,22,20.2,8.7,44.5,22.1,31,0.000265,82.2,74.8,48,0.00041
Otsego,4564,59493.00,0.078523132,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,19.3,412,0.00693,8.3,"1,140",0.02,16.5,20,8.1,25.8,18.1,6,0.000101,83.3,75.6,26,0.00044
Putnam,23231,98320.00,0.23720593,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,14.1,484,0.00492,6.8,"1,191",0.01,8.2,10.7,6.9,27,17.2,12,0.000122,82.1,83,22,0.00022
Queens,29,2253858.00,1.24E-05,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14.8,"2,869",0.00127,6.5,"32,910",0.01,9.9,10.6,9.4,25.3,20.4,192,0.000085,78.3,70.8,444,0.00020
Rensselaer,3727,158714.00,0.023260023,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,23.5,870,0.00548,5.3,"2,372",0.01,17.3,18.3,6.8,30.9,18.7,27,0.000170,78.3,76.6,55,0.00035
Richmond,265,476143.00,0.000536987,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,17.8,"2,378",0.00499,7.7,"8,000",0.02,15.1,15.6,8.7,29.9,19.6,102,0.000214,83.6,76.9,106,0.00022
Rockland,12767,325789.00,0.037635566,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,12.6,705,0.00216,5.7,"3,743",0.01,7.6,12.9,6,26.2,18.6,46,0.000141,76.4,77.5,74,0.00023
Saratoga,8819,107740.00,0.03715469,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,19.5,"1,064",0.00988,7.8,"2,919",0.03,12.8,17.9,6.9,30.1,13.1,20,0.000186,80.5,86,80,0.00074
Schenectady,0,229863.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8,"1,030",0.00448,6.3,"2,643",0.01,11.3,17.2,9,33.7,18.8,31,0.000135,89.2,81,41,0.00018
Schoharie,570,155299.00,0.019087165,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,14.9,273,0.00176,6.3,532,0.00,18.7,18.5,8.2,29.7,17.8,3,0.000019,85.7,75.1,13,0.00008
Schuyler,918,30999.00,0.051712483,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,21.8,89,0.00287,10.1,219,0.01,16.9,24.3,7,27.6,13.1,0,0.000000,80.3,72.3,10,0.00032
Seneca,2611,17807.00,0.077505343,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,21.5,258,0.01449,7.9,485,0.03,19.5,20.1,13.9,31.2,22.6,3,0.000168,82.2,73,14,0.00079
St. Lawrence,5724,107766.00,0.052974984,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,20.2,"1,353",0.01255,7.3,"1,645",0.02,18.5,26.1,10.3,40.9,23.9,1,0.000009,76.7,73.1,35,0.00032
Steuben,568,95379.00,0.006110944,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,16.3,681,0.00714,8,"1,408",0.01,19.9,27.6,10.5,35.4,20.8,9,0.000094,72.9,71.5,46,0.00048
Suffolk,20263,"1,481,093",0.013275513,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,18,"8,801",0.00594,7.5,"25,815",0.02,11.2,13.7,7.8,26.3,18.8,290,0.000196,89.4,78.9,388,0.00026
Sullivan,1409,75551.00,0.017655314,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,22.1,937,0.01240,7.4,"1,441",0.02,21,21.2,8.3,38,21.3,30,0.000397,78.9,66.2,32,0.00042
Tioga,553,48203.00,0.011525636,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26.6,210,0.00436,9.8,396,0.01,17,17.7,10.4,30,20.3,6,0.000124,84.8,79,22,0.00046
Tompkins,2252,102180.00,0.021414579,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,21.2,608,0.00595,3.9,812,0.01,13.2,21.3,5.7,20.2,14.5,10,0.000098,82.1,87.3,40,0.00039
Ulster,24251,177573.00,0.132554618,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,18.5,"1,510",0.00850,6.7,"2,807",0.02,13.4,20.1,6.7,28.2,20.5,32,0.000180,89,78.3,75,0.00042
Warren,0,63944.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6,608,0.00951,7.2,"1,015",0.02,19.1,18.3,7.6,25.2,17.8,11,0.000172,87.3,77.5,22,0.00034
Washington,0,61204.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,628,0.01026,6.7,957,0.02,25.3,24.4,11.2,38.7,21.4,4,0.000065,82.8,72.7,22,0.00036
Wayne,597,89918.00,0.006565995,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,12.7,561,0.00624,6.5,"1,790",0.02,22.3,24.8,8.7,41.4,19.2,9,0.000100,89.3,71.1,36,0.00040
Westchester,9960,967506.00,0.00998101,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,16.7,"1,847",0.00191,5.4,"13,423",0.01,7,13.2,7.6,23.5,12.4,91,0.000094,75.5,81.5,199,0.00021
Wyoming,15293,39859.00,0.377688869,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,17,240,0.00602,7.3,544,0.01,19.6,16.8,10.9,38.4,18.8,7,0.000176,84.6,72.1,27,0.00068
Yates,621,24913.00,0.025230569,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,9.1,171,0.00686,7.5,329,0.01,8.8,16.2,12.8,28.8,22.3,3,0.000120,75,72,7,0.00028
